Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[0.371428571],3835,0,1,
0,[],11494,1,1,
0,[],9233,2,1,
0,[],14334,3,1,
0,[],7768,4,1,
0,[],7327,5,1,
0,[],5914,6,1,
0,[],2643,7,1,
0,[],3231,8,1,
0,[],6780,9,1,
0,[],14345,10,1,
0,[],7081,11,1,
0,[],3226,12,1,
0,[],8661,13,1,
0,[],3405,14,1,
0,[],3768,15,1,
0,[],12812,16,1,
0,[],1798,17,1,
0,[],11718,18,1,
0,[],12290,19,1,
0,[],8720,20,1,
0,[],3551,21,1,
0,[],6710,22,1,
0,[],8720,23,1,
0,[],12408,24,1,
0,[],9854,25,1,
0,[],13606,26,1,
0,[],3876,27,1,
0,[],2262,28,1,
0,[],9032,29,1,
0,[],7836,30,1,
0,[],2398,31,1,
0,[],11787,32,1,
0,[],4835,33,1,
0,[],9122,34,1,
0,[],15481,35,1,
0,[],1145,36,1,
0,[],15370,37,1,
0,[],14340,38,1,
0,[],8305,39,1,
0,[],5837,40,1,
0,[],5264,41,1,
0,[],2522,42,1,
0,[],4642,43,1,
0,[],9607,44,1,
0,[],7858,45,1,
0,[],6329,46,1,
0,[],10826,47,1,
0,[],9732,48,1,
0,[],8391,49,1,
0,[],7199,50,1,
0,[],7926,51,1,
0,[],4796,52,1,
0,[],11294,53,1,
0,[],1815,54,1,
0,[],14082,55,1,
0,[],8210,56,1,
0,[],8924,57,1,
0,[],12187,58,1,
0,[],9614,59,1,
0,[],6438,60,1,
0,[],4817,61,1,
0,[],12743,62,1,
0,[],15148,63,1,
0,[],8183,64,1,
0,[],1506,65,1,
0,[],5435,66,1,
0,[],5722,67,1,
0,[],7098,68,1,
0,[],10511,69,1,
0,[],7850,70,1,
0,[],1271,71,1,
0,[],2426,72,1,
0,[],9471,73,1,
0,[],13534,74,1,
0,[],9763,75,1,
0,[],6508,76,1,
0,[],14656,77,1,
0,[],5148,78,1,
0,[],9952,79,1,
0,[],5301,80,1,
0,[],10506,81,1,
0,[],10200,82,1,
0,[],2258,83,1,
0,[],2641,84,1,
0,[],12898,85,1,
0,[],3353,86,1,
0,[],5174,87,1,
0,[],8158,88,1,
0,[],8987,89,1,
0,[],2488,90,1,
0,[],7091,91,1,
0,[],11625,92,1,
0,[],6669,93,1,
0,[],11055,94,1,
0,[],13333,95,1,
0,[],12947,96,1,
0,[],5566,97,1,
0,[],10874,98,1,
0,[],8784,99,1,
0,[],12082,100,1,
0,[],12521,101,1,
0,[],13004,102,1,
0,[],11546,103,1,
0,[],14936,104,1,
0,[],13494,105,1,
0,[],15536,106,1,
0,[],7650,107,1,
0,[],5247,108,1,
0,[],11792,109,1,
0,[],8181,110,1,
0,[],2518,111,1,
0,[],11976,112,1,
0,[],3711,113,1,
0,[],7701,114,1,
0,[],8577,115,1,
0,[],11347,116,1,
0,[],12264,117,1,
0,[],3071,118,1,
0,[],1412,119,1,
0,[],13654,120,1,
0,[],11541,121,1,
0,[],6644,122,1,
0,[],4698,123,1,
0,[],9673,124,1,
0,[],1742,125,1,
0,[],11458,126,1,
0,[],14045,127,1,
0,[],6167,128,1,
0,[],14732,129,1,
0,[],2253,130,1,
0,[],1796,131,1,
0,[],3530,132,1,
0,[],4660,133,1,
0,[],6191,134,1,
0,[],16415,135,1,
0,[],12667,136,1,
0,[],13264,137,1,
0,[],2125,138,1,
0,[],9517,139,1,
0,[],14158,140,1,
0,[],8200,141,1,
0,[],8488,142,1,
0,[],5506,143,1,
0,[],5423,144,1,
0,[],9011,145,1,
0,[],6183,146,1,
0,[],12173,147,1,
0,[],10616,148,1,
0,[],9271,149,1,
0,[],3647,150,1,
0,[],16633,151,1,
0,[],4905,152,1,
0,[],13765,153,1,
0,[],6891,154,1,
0,[],14333,155,1,
0,[],1799,156,1,
0,[],8747,157,1,
0,[],8594,158,1,
0,[],13838,159,1,
0,[],7192,160,1,
0,[],10189,161,1,
0,[],6854,162,1,
0,[],8312,163,1,
0,[],1495,164,1,
0,[],3073,165,1,
0,[],1987,166,1,
0,[],12699,167,1,
0,[],14752,168,1,
0,[],2165,169,1,
0,[],9104,170,1,
0,[],13129,171,1,
0,[],11860,172,1,
0,[],8097,173,1,
0,[],5594,174,1,
0,[],13218,175,1,
0,[],8062,176,1,
0,[],9123,177,1,
0,[],2046,178,1,
0,[],7788,179,1,
0,[],9983,180,1,
0,[],7102,181,1,
0,[],5611,182,1,
0,[],4383,183,1,
0,[],6286,184,1,
0,[],8477,185,1,
0,[],2459,186,1,
0,[],14698,187,1,
0,[],4845,188,1,
0,[],12928,189,1,
0,[],5667,190,1,
0,[],6267,191,1,
0,[],10094,192,1,
0,[],1762,193,1,
0,[],11106,194,1,
0,[],8906,195,1,
0,[],10112,196,1,
0,[],6687,197,1,
0,[],12096,198,1,
0,[],1968,199,1,
0,[],3835,0,2,
0,[],11494,1,2,
0,[],9233,2,2,
20988,[0.728571429.],14334,3,2,cpu
0,[],7768,4,2,
0,[],7327,5,2,
0,[],5914,6,2,
0,[],2643,7,2,
0,[],3231,8,2,
0,[],6780,9,2,
20124,[0.728571429.],14345,10,2,cpu
0,[],7081,11,2,
0,[],3226,12,2,
0,[],8661,13,2,
0,[],3405,14,2,
0,[],3768,15,2,
0,[],12812,16,2,
0,[],1798,17,2,
0,[],11718,18,2,
0,[],12290,19,2,
0,[],8720,20,2,
0,[],3551,21,2,
0,[],6710,22,2,
0,[],8720,23,2,
0,[],12408,24,2,
0,[],9854,25,2,
19455,[0.728571429.],13606,26,2,cpu
0,[],3876,27,2,
0,[],2262,28,2,
0,[],9032,29,2,
0,[],7836,30,2,
0,[],2398,31,2,
0,[],11787,32,2,
0,[],4835,33,2,
0,[],9122,34,2,
21845,[0.728571429.],15481,35,2,cpu
0,[],1145,36,2,
22196,[0.728571429.],15370,37,2,cpu
20093,[0.728571429.],14340,38,2,cpu
0,[],8305,39,2,
0,[],5837,40,2,
0,[],5264,41,2,
0,[],2522,42,2,
0,[],4642,43,2,
0,[],9607,44,2,
0,[],7858,45,2,
0,[],6329,46,2,
0,[],10826,47,2,
0,[],9732,48,2,
0,[],8391,49,2,
0,[],7199,50,2,
0,[],7926,51,2,
0,[],4796,52,2,
0,[],11294,53,2,
0,[],1815,54,2,
19774,[0.728571429.],14082,55,2,cpu
0,[],8210,56,2,
0,[],8924,57,2,
0,[],12187,58,2,
0,[],9614,59,2,
0,[],6438,60,2,
0,[],4817,61,2,
0,[],12743,62,2,
21684,[0.728571429.],15148,63,2,cpu
0,[],8183,64,2,
0,[],1506,65,2,
0,[],5435,66,2,
0,[],5722,67,2,
0,[],7098,68,2,
0,[],10511,69,2,
0,[],7850,70,2,
0,[],1271,71,2,
0,[],2426,72,2,
0,[],9471,73,2,
19693,[0.728571429.],13534,74,2,cpu
0,[],9763,75,2,
0,[],6508,76,2,
21052,[0.728571429.],14656,77,2,cpu
0,[],5148,78,2,
0,[],9952,79,2,
0,[],5301,80,2,
0,[],10506,81,2,
0,[],10200,82,2,
0,[],2258,83,2,
0,[],2641,84,2,
0,[],12898,85,2,
0,[],3353,86,2,
0,[],5174,87,2,
0,[],8158,88,2,
0,[],8987,89,2,
0,[],2488,90,2,
0,[],7091,91,2,
0,[],11625,92,2,
0,[],6669,93,2,
0,[],11055,94,2,
19397,[0.728571429.],13333,95,2,cpu
0,[],12947,96,2,
0,[],5566,97,2,
0,[],10874,98,2,
0,[],8784,99,2,
0,[],12082,100,2,
0,[],12521,101,2,
0,[],13004,102,2,
0,[],11546,103,2,
21781,[0.728571429.],14936,104,2,cpu
19363,[0.728571429.],13494,105,2,cpu
23279,[0.728571429.],15536,106,2,cpu
0,[],7650,107,2,
0,[],5247,108,2,
0,[],11792,109,2,
0,[],8181,110,2,
0,[],2518,111,2,
0,[],11976,112,2,
0,[],3711,113,2,
0,[],7701,114,2,
0,[],8577,115,2,
0,[],11347,116,2,
0,[],12264,117,2,
0,[],3071,118,2,
0,[],1412,119,2,
19821,[0.728571429.],13654,120,2,cpu
0,[],11541,121,2,
0,[],6644,122,2,
0,[],4698,123,2,
0,[],9673,124,2,
0,[],1742,125,2,
0,[],11458,126,2,
20775,[0.728571429.],14045,127,2,cpu
0,[],6167,128,2,
20984,[0.728571429.],14732,129,2,cpu
0,[],2253,130,2,
0,[],1796,131,2,
0,[],3530,132,2,
0,[],4660,133,2,
0,[],6191,134,2,
23420,[0.728571429.],16415,135,2,cpu
0,[],12667,136,2,
19157,[0.728571429.],13264,137,2,cpu
0,[],2125,138,2,
0,[],9517,139,2,
20889,[0.728571429.],14158,140,2,cpu
0,[],8200,141,2,
0,[],8488,142,2,
0,[],5506,143,2,
0,[],5423,144,2,
0,[],9011,145,2,
0,[],6183,146,2,
0,[],12173,147,2,
0,[],10616,148,2,
0,[],9271,149,2,
0,[],3647,150,2,
22668,[0.728571429.],16633,151,2,cpu
0,[],4905,152,2,
19747,[0.728571429.],13765,153,2,cpu
0,[],6891,154,2,
19877,[0.728571429.],14333,155,2,cpu
0,[],1799,156,2,
0,[],8747,157,2,
0,[],8594,158,2,
20309,[0.728571429.],13838,159,2,cpu
0,[],7192,160,2,
0,[],10189,161,2,
0,[],6854,162,2,
0,[],8312,163,2,
0,[],1495,164,2,
0,[],3073,165,2,
0,[],1987,166,2,
0,[],12699,167,2,
21008,[0.728571429.],14752,168,2,cpu
0,[],2165,169,2,
0,[],9104,170,2,
0,[],13129,171,2,
0,[],11860,172,2,
0,[],8097,173,2,
0,[],5594,174,2,
0,[],13218,175,2,
0,[],8062,176,2,
0,[],9123,177,2,
0,[],2046,178,2,
0,[],7788,179,2,
0,[],9983,180,2,
0,[],7102,181,2,
0,[],5611,182,2,
0,[],4383,183,2,
0,[],6286,184,2,
0,[],8477,185,2,
0,[],2459,186,2,
21151,[0.728571429.],14698,187,2,cpu
0,[],4845,188,2,
19017,[0.728571429.],12928,189,2,cpu
0,[],5667,190,2,
0,[],6267,191,2,
0,[],10094,192,2,
0,[],1762,193,2,
0,[],11106,194,2,
0,[],8906,195,2,
0,[],10112,196,2,
0,[],6687,197,2,
0,[],12096,198,2,
0,[],1968,199,2,
